0,<S>,1
0,400,d2
1,36,Aceptar
2,452,d3
3,<Declaraciones>,8
3,<DelVariable>,9
3,<Clase>,7
3,<FuncionesGlobales>,10
3,401,r5
3,<TipoPrimitivo>,11
3,420,d12
3,500,d19
3,<AsignacionObj>,6
3,<AsignacionArreglo>,4
3,<AsignacionElemArr>,5
3,403,d16
3,410,d17
3,411,d18
3,412,d13
3,413,d14
3,415,d20
3,416,d15
4,416,r10
4,403,r10
4,415,r10
4,420,r10
4,401,r10
4,413,r10
4,411,r10
4,410,r10
4,500,r10
4,412,r10
5,416,r11
5,403,r11
5,415,r11
5,420,r11
5,401,r11
5,413,r11
5,411,r11
5,410,r11
5,500,r11
5,412,r11
6,416,r9
6,403,r9
6,415,r9
6,420,r9
6,401,r9
6,413,r9
6,411,r9
6,410,r9
6,500,r9
6,412,r9
7,<Declaraciones>,21
7,<DelVariable>,9
7,<Clase>,7
7,<FuncionesGlobales>,10
7,401,r5
7,<TipoPrimitivo>,11
7,420,d12
7,500,d19
7,<AsignacionObj>,6
7,<AsignacionArreglo>,4
7,<AsignacionElemArr>,5
7,403,d16
7,410,d17
7,411,d18
7,412,d13
7,413,d14
7,415,d20
7,416,d15
8,401,d22
9,<Declaraciones>,23
9,<DelVariable>,9
9,<Clase>,7
9,<FuncionesGlobales>,10
9,401,r5
9,<TipoPrimitivo>,11
9,420,d12
9,500,d19
9,<AsignacionObj>,6
9,<AsignacionArreglo>,4
9,<AsignacionElemArr>,5
9,403,d16
9,410,d17
9,411,d18
9,412,d13
9,413,d14
9,415,d20
9,416,d15
10,<Declaraciones>,24
10,<DelVariable>,9
10,<Clase>,7
10,<FuncionesGlobales>,10
10,401,r5
10,<TipoPrimitivo>,11
10,420,d12
10,500,d19
10,<AsignacionObj>,6
10,<AsignacionArreglo>,4
10,<AsignacionElemArr>,5
10,403,d16
10,410,d17
10,411,d18
10,412,d13
10,413,d14
10,415,d20
10,416,d15
11,<DeclSimple>,27
11,<ListaIds>,30
11,<DeclInicializada>,26
11,<Arreglos>,25
